state,year,sector,carbon_type,emission_(metric_tons)
Andhra Pradesh,2010,Energy,CO,3.48
Andhra Pradesh,2010,Energy,CO2,50.77
Andhra Pradesh,2010,Energy,CH4,3.62
Andhra Pradesh,2010,Industry,CO,2.66
Andhra Pradesh,2010,Industry,CO2,55.72
Andhra Pradesh,2010,Industry,CH4,3.44
Andhra Pradesh,2010,Transportation,CO,4.32
Andhra Pradesh,2010,Transportation,CO2,15.82
Andhra Pradesh,2010,Transportation,CH4,0.91
Andhra Pradesh,2010,Agriculture,CO,0.35
Andhra Pradesh,2010,Agriculture,CO2,13.51
Andhra Pradesh,2010,Agriculture,CH4,8.13
Andhra Pradesh,2010,Waste Management,CO,0.36
Andhra Pradesh,2010,Waste Management,CO2,3.08
Andhra Pradesh,2010,Waste Management,CH4,9.39
Andhra Pradesh,2011,Energy,CO,3.28
Andhra Pradesh,2011,Energy,CO2,65.66
Andhra Pradesh,2011,Energy,CH4,1.65
Andhra Pradesh,2011,Industry,CO,1.78
Andhra Pradesh,2011,Industry,CO2,55.71
Andhra Pradesh,2011,Industry,CH4,1.28
Andhra Pradesh,2011,Transportation,CO,2.93
Andhra Pradesh,2011,Transportation,CO2,40.51
Andhra Pradesh,2011,Transportation,CH4,0.65
Andhra Pradesh,2011,Agriculture,CO,0.47
Andhra Pradesh,2011,Agriculture,CO2,8.01
Andhra Pradesh,2011,Agriculture,CH4,9.8
Andhra Pradesh,2011,Waste Management,CO,0.37
Andhra Pradesh,2011,Waste Management,CO2,6.19
Andhra Pradesh,2011,Waste Management,CH4,9.22
Andhra Pradesh,2012,Energy,CO,3.57
Andhra Pradesh,2012,Energy,CO2,48.03
Andhra Pradesh,2012,Energy,CH4,2.79
Andhra Pradesh,2012,Industry,CO,1.99
Andhra Pradesh,2012,Industry,CO2,55.37
Andhra Pradesh,2012,Industry,CH4,2.62
Andhra Pradesh,2012,Transportation,CO,2.19
Andhra Pradesh,2012,Transportation,CO2,38.14
Andhra Pradesh,2012,Transportation,CH4,1.03
Andhra Pradesh,2012,Agriculture,CO,0.66
