State,Year,Sector,Carbon_Type,Emission (Metric Tons)
Andhra Pradesh,2010,Energy,CO,2.22
Andhra Pradesh,2010,Energy,CO2,58.9
Andhra Pradesh,2010,Energy,CH4,3.51
Andhra Pradesh,2010,Industry,CO,2.47
Andhra Pradesh,2010,Industry,CO2,48.22
Andhra Pradesh,2010,Industry,CH4,1.83
Andhra Pradesh,2010,Transportation,CO,3.47
Andhra Pradesh,2010,Transportation,CO2,42.83
Andhra Pradesh,2010,Transportation,CH4,1.33
Andhra Pradesh,2010,Agriculture,CO,0.45
Andhra Pradesh,2010,Agriculture,CO2,7.05
Andhra Pradesh,2010,Agriculture,CH4,10.71
Andhra Pradesh,2010,Waste Management,CO,0.3
Andhra Pradesh,2010,Waste Management,CO2,6.03
Andhra Pradesh,2010,Waste Management,CH4,8.29
Andhra Pradesh,2011,Energy,CO,3.03
Andhra Pradesh,2011,Energy,CO2,63.23
Andhra Pradesh,2011,Energy,CH4,3.56
Andhra Pradesh,2011,Industry,CO,2.34
Andhra Pradesh,2011,Industry,CO2,23.41
Andhra Pradesh,2011,Industry,CH4,3.46
Andhra Pradesh,2011,Transportation,CO,1.63
Andhra Pradesh,2011,Transportation,CO2,20.71
Andhra Pradesh,2011,Transportation,CH4,1.16
Andhra Pradesh,2011,Agriculture,CO,0.28
Andhra Pradesh,2011,Agriculture,CO2,7.15
Andhra Pradesh,2011,Agriculture,CH4,8.09
Andhra Pradesh,2011,Waste Management,CO,0.23
Andhra Pradesh,2011,Waste Management,CO2,7.22
Andhra Pradesh,2011,Waste Management,CH4,4.95
Andhra Pradesh,2012,Energy,CO,2.69
Andhra Pradesh,2012,Energy,CO2,36.03
Andhra Pradesh,2012,Energy,CH4,4.13
Andhra Pradesh,2012,Industry,CO,1.54
Andhra Pradesh,2012,Industry,CO2,41.74
Andhra Pradesh,2012,Industry,CH4,2.33
Andhra Pradesh,2012,Transportation,CO,2.46
Andhra Pradesh,2012,Transportation,CO2,40.95
Andhra Pradesh,2012,Transportation,CH4,1.48
Andhra Pradesh,2012,Agriculture,CO,0.66
Andhra Pradesh,2012,Agriculture,CO2,14.52
Andhra Pradesh,2012,Agriculture,CH4,9.47
Andhra Pradesh,2012,Waste Management,CO,0.31
Andhra Pradesh,2012,Waste Management,CO2,2.78
Andhra Pradesh,2012,Waste Management,CH4,8.62
Andhra Pradesh,2013,Energy,CO,1.42
Andhra Pradesh,2013,Energy,CO2,55.45
Andhra Pradesh,2013,Energy,CH4,2.58
Andhra Pradesh,2013,Industry,CO,2.05
Andhra Pradesh,2013,Industry,CO2,47.79
Andhra Pradesh,2013,Industry,CH4,2.72
Andhra Pradesh,2013,Transportation,CO,1.92
Andhra Pradesh,2013,Transportation,CO2,27.08
Andhra Pradesh,2013,Transportation,CH4,1.4
Andhra Pradesh,2013,Agriculture,CO,0.41
Andhra Pradesh,2013,Agriculture,CO2,9.98
Andhra Pradesh,2013,Agriculture,CH4,4.56
Andhra Pradesh,2013,Waste Management,CO,0.38
Andhra Pradesh,2013,Waste Management,CO2,6.58
Andhra Pradesh,2013,Waste Management,CH4,5.1
Andhra Pradesh,2014,Energy,CO,2.35
Andhra Pradesh,2014,Energy,CO2,69.81
Andhra Pradesh,2014,Energy,CH4,2.77
Andhra Pradesh,2014,Industry,CO,1.03
Andhra Pradesh,2014,Industry,CO2,24.5
Andhra Pradesh,2014,Industry,CH4,2.04
Andhra Pradesh,2014,Transportation,CO,4.17
Andhra Pradesh,2014,Transportation,CO2,32.86
Andhra Pradesh,2014,Transportation,CH4,1.44
Andhra Pradesh,2014,Agriculture,CO,0.53
Andhra Pradesh,2014,Agriculture,CO2,11.27
Andhra Pradesh,2014,Agriculture,CH4,8.31
Andhra Pradesh,2014,Waste Management,CO,0.36
Andhra Pradesh,2014,Waste Management,CO2,6.21
Andhra Pradesh,2014,Waste Management,CH4,4.58
Andhra Pradesh,2015,Energy,CO,3.41
Andhra Pradesh,2015,Energy,CO2,56.68
Andhra Pradesh,2015,Energy,CH4,3.49
Andhra Pradesh,2015,Industry,CO,2.4
Andhra Pradesh,2015,Industry,CO2,43.54
Andhra Pradesh,2015,Industry,CH4,2.19
Andhra Pradesh,2015,Transportation,CO,3.75
Andhra Pradesh,2015,Transportation,CO2,24.43
Andhra Pradesh,2015,Transportation,CH4,0.7
Andhra Pradesh,2015,Agriculture,CO,0.58
Andhra Pradesh,2015,Agriculture,CO2,14.55
Andhra Pradesh,2015,Agriculture,CH4,4.43
Andhra Pradesh,2015,Waste Management,CO,0.33
Andhra Pradesh,2015,Waste Management,CO2,5.03
Andhra Pradesh,2015,Waste Management,CH4,7.84
Andhra Pradesh,2016,Energy,CO,2.84
Andhra Pradesh,2016,Energy,CO2,60.48
Andhra Pradesh,2016,Energy,CH4,2.99
Andhra Pradesh,2016,Industry,CO,1.15
Andhra Pradesh,2016,Industry,CO2,31.86
Andhra Pradesh,2016,Industry,CH4,3.46
Andhra Pradesh,2016,Transportation,CO,2.19
Andhra Pradesh,2016,Transportation,CO2,19.31
Andhra Pradesh,2016,Transportation,CH4,0.67
Andhra Pradesh,2016,Agriculture,CO,0.42
Andhra Pradesh,2016,Agriculture,CO2,12.47
Andhra Pradesh,2016,Agriculture,CH4,4.74
Andhra Pradesh,2016,Waste Management,CO,0.4
Andhra Pradesh,2016,Waste Management,CO2,3.4
Andhra Pradesh,2016,Waste Management,CH4,4.8
Andhra Pradesh,2017,Energy,CO,3.5
Andhra Pradesh,2017,Energy,CO2,69.13
Andhra Pradesh,2017,Energy,CH4,4.37
Andhra Pradesh,2017,Industry,CO,2.46
Andhra Pradesh,2017,Industry,CO2,31.82
Andhra Pradesh,2017,Industry,CH4,2.27
Andhra Pradesh,2017,Transportation,CO,3.39
Andhra Pradesh,2017,Transportation,CO2,34.53
Andhra Pradesh,2017,Transportation,CH4,1.09
Andhra Pradesh,2017,Agriculture,CO,0.54
Andhra Pradesh,2017,Agriculture,CO2,7.46
Andhra Pradesh,2017,Agriculture,CH4,8.5
Andhra Pradesh,2017,Waste Management,CO,0.28
Andhra Pradesh,2017,Waste Management,CO2,5.92
Andhra Pradesh,2017,Waste Management,CH4,6.02
Andhra Pradesh,2018,Energy,CO,3.47
Andhra Pradesh,2018,Energy,CO2,57.57
Andhra Pradesh,2018,Energy,CH4,1.55
Andhra Pradesh,2018,Industry,CO,2.37
Andhra Pradesh,2018,Industry,CO2,34.69
Andhra Pradesh,2018,Industry,CH4,1.27
Andhra Pradesh,2018,Transportation,CO,1.67
Andhra Pradesh,2018,Transportation,CO2,39.42
Andhra Pradesh,2018,Transportation,CH4,1.27
Andhra Pradesh,2018,Agriculture,CO,0.35
Andhra Pradesh,2018,Agriculture,CO2,6.23
Andhra Pradesh,2018,Agriculture,CH4,5.2
Andhra Pradesh,2018,Waste Management,CO,0.23
Andhra Pradesh,2018,Waste Management,CO2,5.48
Andhra Pradesh,2018,Waste Management,CH4,3.31
Andhra Pradesh,2019,Energy,CO,3.46
Andhra Pradesh,2019,Energy,CO2,73.68
Andhra Pradesh,2019,Energy,CH4,3.06
Andhra Pradesh,2019,Industry,CO,2.38
Andhra Pradesh,2019,Industry,CO2,41.49
Andhra Pradesh,2019,Industry,CH4,3.51
Andhra Pradesh,2019,Transportation,CO,4.02
Andhra Pradesh,2019,Transportation,CO2,23.35
Andhra Pradesh,2019,Transportation,CH4,0.83
Andhra Pradesh,2019,Agriculture,CO,0.57
Andhra Pradesh,2019,Agriculture,CO2,10.27
Andhra Pradesh,2019,Agriculture,CH4,5.06
Andhra Pradesh,2019,Waste Management,CO,0.34
Andhra Pradesh,2019,Waste Management,CO2,4.54
Andhra Pradesh,2019,Waste Management,CH4,3.84
Andhra Pradesh,2020,Energy,CO,2.86
Andhra Pradesh,2020,Energy,CO2,45.85
Andhra Pradesh,2020,Energy,CH4,4.46
Andhra Pradesh,2020,Industry,CO,1.48
Andhra Pradesh,2020,Industry,CO2,52.34
Andhra Pradesh,2020,Industry,CH4,3.25
Andhra Pradesh,2020,Transportation,CO,3.32
Andhra Pradesh,2020,Transportation,CO2,18.79
Andhra Pradesh,2020,Transportation,CH4,0.87
Andhra Pradesh,2020,Agriculture,CO,0.43
Andhra Pradesh,2020,Agriculture,CO2,8.28
Andhra Pradesh,2020,Agriculture,CH4,8.86
Andhra Pradesh,2020,Waste Management,CO,0.28
Andhra Pradesh,2020,Waste Management,CO2,5.28
Andhra Pradesh,2020,Waste Management,CH4,7.94
Andhra Pradesh,2021,Energy,CO,3.36
Andhra Pradesh,2021,Energy,CO2,54.54
Andhra Pradesh,2021,Energy,CH4,3.99
Andhra Pradesh,2021,Industry,CO,1.09
Andhra Pradesh,2021,Industry,CO2,39.86
Andhra Pradesh,2021,Industry,CH4,3.53
Andhra Pradesh,2021,Transportation,CO,1.59
Andhra Pradesh,2021,Transportation,CO2,17.25
Andhra Pradesh,2021,Transportation,CH4,1.04
Andhra Pradesh,2021,Agriculture,CO,0.41
Andhra Pradesh,2021,Agriculture,CO2,6.86
Andhra Pradesh,2021,Agriculture,CH4,9.47
Andhra Pradesh,2021,Waste Management,CO,0.25
Andhra Pradesh,2021,Waste Management,CO2,4.18
Andhra Pradesh,2021,Waste Management,CH4,6.49
Andhra Pradesh,2022,Energy,CO,3.03
Andhra Pradesh,2022,Energy,CO2,54.95
Andhra Pradesh,2022,Energy,CH4,3.85
Andhra Pradesh,2022,Industry,CO,2.1
Andhra Pradesh,2022,Industry,CO2,57.53
Andhra Pradesh,2022,Industry,CH4,2.4
Andhra Pradesh,2022,Transportation,CO,3.0
Andhra Pradesh,2022,Transportation,CO2,15.92
Andhra Pradesh,2022,Transportation,CH4,0.86
Andhra Pradesh,2022,Agriculture,CO,0.28
Andhra Pradesh,2022,Agriculture,CO2,10.84
Andhra Pradesh,2022,Agriculture,CH4,8.01
Andhra Pradesh,2022,Waste Management,CO,0.36
Andhra Pradesh,2022,Waste Management,CO2,3.16
Andhra Pradesh,2022,Waste Management,CH4,6.56
Andhra Pradesh,2023,Energy,CO,3.35
Andhra Pradesh,2023,Energy,CO2,28.43
Andhra Pradesh,2023,Energy,CH4,3.05
Andhra Pradesh,2023,Industry,CO,2.23
Andhra Pradesh,2023,Industry,CO2,29.21
Andhra Pradesh,2023,Industry,CH4,1.74
