State,Year,Sector,Carbon_Type,Emission (Metric Tons)
Andhra Pradesh,2010,Energy,CO,2.16
Andhra Pradesh,2010,Energy,CO2,67.1
Andhra Pradesh,2010,Energy,CH4,1.92
Andhra Pradesh,2010,Industry,CO,2.01
Andhra Pradesh,2010,Industry,CO2,39.77
Andhra Pradesh,2010,Industry,CH4,3.6
Andhra Pradesh,2010,Transportation,CO,3.4
Andhra Pradesh,2010,Transportation,CO2,25.78
Andhra Pradesh,2010,Transportation,CH4,0.85
Andhra Pradesh,2010,Agriculture,CO,0.56
Andhra Pradesh,2010,Agriculture,CO2,10.45
Andhra Pradesh,2010,Agriculture,CH4,7.03
Andhra Pradesh,2010,Waste Management,CO,0.15
Andhra Pradesh,2010,Waste Management,CO2,3.56
Andhra Pradesh,2010,Waste Management,CH4,3.38
Andhra Pradesh,2011,Energy,CO,3.45
Andhra Pradesh,2011,Energy,CO2,56.83
Andhra Pradesh,2011,Energy,CH4,4.11
Andhra Pradesh,2011,Industry,CO,1.46
Andhra Pradesh,2011,Industry,CO2,45.99
Andhra Pradesh,2011,Industry,CH4,2.87
Andhra Pradesh,2011,Transportation,CO,4.32
Andhra Pradesh,2011,Transportation,CO2,36.6
Andhra Pradesh,2011,Transportation,CH4,1.21
Andhra Pradesh,2011,Agriculture,CO,0.65
Andhra Pradesh,2011,Agriculture,CO2,12.62
Andhra Pradesh,2011,Agriculture,CH4,5.03
Andhra Pradesh,2011,Waste Management,CO,0.23
Andhra Pradesh,2011,Waste Management,CO2,2.76
Andhra Pradesh,2011,Waste Management,CH4,5.98
Andhra Pradesh,2012,Energy,CO,3.4
Andhra Pradesh,2012,Energy,CO2,69.72
Andhra Pradesh,2012,Energy,CH4,2.97
Andhra Pradesh,2012,Industry,CO,2.34
Andhra Pradesh,2012,Industry,CO2,37.59
Andhra Pradesh,2012,Industry,CH4,2.52
Andhra Pradesh,2012,Transportation,CO,2.87
Andhra Pradesh,2012,Transportation,CO2,27.89
Andhra Pradesh,2012,Transportation,CH4,1.33
Andhra Pradesh,2012,Agriculture,CO,0.68
Andhra Pradesh,2012,Agriculture,CO2,9.11
Andhra Pradesh,2012,Agriculture,CH4,11.89
Andhra Pradesh,2012,Waste Management,CO,0.41
Andhra Pradesh,2012,Waste Management,CO2,6.39
Andhra Pradesh,2012,Waste Management,CH4,5.87
Andhra Pradesh,2013,Energy,CO,2.84
Andhra Pradesh,2013,Energy,CO2,31.84
Andhra Pradesh,2013,Energy,CH4,1.52
Andhra Pradesh,2013,Industry,CO,1.12
Andhra Pradesh,2013,Industry,CO2,37.62
Andhra Pradesh,2013,Industry,CH4,2.01
Andhra Pradesh,2013,Transportation,CO,4.38
Andhra Pradesh,2013,Transportation,CO2,21.73
Andhra Pradesh,2013,Transportation,CH4,0.57
Andhra Pradesh,2013,Agriculture,CO,0.69
Andhra Pradesh,2013,Agriculture,CO2,8.92
Andhra Pradesh,2013,Agriculture,CH4,4.29
Andhra Pradesh,2013,Waste Management,CO,0.41
Andhra Pradesh,2013,Waste Management,CO2,5.32
Andhra Pradesh,2013,Waste Management,CH4,6.14
Andhra Pradesh,2014,Energy,CO,2.05
Andhra Pradesh,2014,Energy,CO2,27.17
Andhra Pradesh,2014,Energy,CH4,4.05
Andhra Pradesh,2014,Industry,CO,1.31
Andhra Pradesh,2014,Industry,CO2,23.45
Andhra Pradesh,2014,Industry,CH4,1.59
Andhra Pradesh,2014,Transportation,CO,2.02
Andhra Pradesh,2014,Transportation,CO2,39.34
Andhra Pradesh,2014,Transportation,CH4,0.85
Andhra Pradesh,2014,Agriculture,CO,0.47
Andhra Pradesh,2014,Agriculture,CO2,9.27
Andhra Pradesh,2014,Agriculture,CH4,11.25
Andhra Pradesh,2014,Waste Management,CO,0.39
Andhra Pradesh,2014,Waste Management,CO2,2.7
Andhra Pradesh,2014,Waste Management,CH4,9.2
Andhra Pradesh,2015,Energy,CO,2.85
Andhra Pradesh,2015,Energy,CO2,37.69
Andhra Pradesh,2015,Energy,CH4,4.23
Andhra Pradesh,2015,Industry,CO,1.48
Andhra Pradesh,2015,Industry,CO2,54.53
Andhra Pradesh,2015,Industry,CH4,2.24
Andhra Pradesh,2015,Transportation,CO,2.29
Andhra Pradesh,2015,Transportation,CO2,41.51
Andhra Pradesh,2015,Transportation,CH4,1.19
Andhra Pradesh,2015,Agriculture,CO,0.28
Andhra Pradesh,2015,Agriculture,CO2,6.44
Andhra Pradesh,2015,Agriculture,CH4,7.26
Andhra Pradesh,2015,Waste Management,CO,0.26
Andhra Pradesh,2015,Waste Management,CO2,7.43
Andhra Pradesh,2015,Waste Management,CH4,7.48
Andhra Pradesh,2016,Energy,CO,2.0
Andhra Pradesh,2016,Energy,CO2,34.81
Andhra Pradesh,2016,Energy,CH4,1.85
Andhra Pradesh,2016,Industry,CO,1.94
Andhra Pradesh,2016,Industry,CO2,37.57
Andhra Pradesh,2016,Industry,CH4,1.53
Andhra Pradesh,2016,Transportation,CO,3.89
Andhra Pradesh,2016,Transportation,CO2,39.01
Andhra Pradesh,2016,Transportation,CH4,0.68
Andhra Pradesh,2016,Agriculture,CO,0.67
Andhra Pradesh,2016,Agriculture,CO2,8.07
Andhra Pradesh,2016,Agriculture,CH4,11.89
Andhra Pradesh,2016,Waste Management,CO,0.44
Andhra Pradesh,2016,Waste Management,CO2,3.05
Andhra Pradesh,2016,Waste Management,CH4,7.32
Andhra Pradesh,2017,Energy,CO,2.22
Andhra Pradesh,2017,Energy,CO2,28.12
Andhra Pradesh,2017,Energy,CH4,1.62
Andhra Pradesh,2017,Industry,CO,2.26
Andhra Pradesh,2017,Industry,CO2,39.92
Andhra Pradesh,2017,Industry,CH4,3.39
Andhra Pradesh,2017,Transportation,CO,2.89
Andhra Pradesh,2017,Transportation,CO2,38.05
Andhra Pradesh,2017,Transportation,CH4,1.5
Andhra Pradesh,2017,Agriculture,CO,0.55
Andhra Pradesh,2017,Agriculture,CO2,14.41
Andhra Pradesh,2017,Agriculture,CH4,10.29
Andhra Pradesh,2017,Waste Management,CO,0.19
Andhra Pradesh,2017,Waste Management,CO2,6.5
Andhra Pradesh,2017,Waste Management,CH4,7.33
Andhra Pradesh,2018,Energy,CO,1.97
Andhra Pradesh,2018,Energy,CO2,51.46
Andhra Pradesh,2018,Energy,CH4,1.83
Andhra Pradesh,2018,Industry,CO,2.09
Andhra Pradesh,2018,Industry,CO2,49.75
Andhra Pradesh,2018,Industry,CH4,1.97
Andhra Pradesh,2018,Transportation,CO,2.14
Andhra Pradesh,2018,Transportation,CO2,28.72
Andhra Pradesh,2018,Transportation,CH4,0.72
Andhra Pradesh,2018,Agriculture,CO,0.7
Andhra Pradesh,2018,Agriculture,CO2,10.99
Andhra Pradesh,2018,Agriculture,CH4,4.89
Andhra Pradesh,2018,Waste Management,CO,0.27
Andhra Pradesh,2018,Waste Management,CO2,2.99
Andhra Pradesh,2018,Waste Management,CH4,7.9
Andhra Pradesh,2019,Energy,CO,1.26
Andhra Pradesh,2019,Energy,CO2,67.18
Andhra Pradesh,2019,Energy,CH4,2.26
Andhra Pradesh,2019,Industry,CO,1.97
Andhra Pradesh,2019,Industry,CO2,40.24
Andhra Pradesh,2019,Industry,CH4,3.09
Andhra Pradesh,2019,Transportation,CO,3.84
Andhra Pradesh,2019,Transportation,CO2,23.15
Andhra Pradesh,2019,Transportation,CH4,1.43
Andhra Pradesh,2019,Agriculture,CO,0.75
Andhra Pradesh,2019,Agriculture,CO2,12.03
Andhra Pradesh,2019,Agriculture,CH4,6.43
