state,year,sector,emission_(metric_tons)
Andhra Pradesh,2010,Agriculture,18.04
Andhra Pradesh,2010,Energy,71.17999999999999
Andhra Pradesh,2010,Industry,45.38
Andhra Pradesh,2010,Transportation,30.03
Andhra Pradesh,2010,Waste Management,7.09
Andhra Pradesh,2011,Agriculture,18.3
Andhra Pradesh,2011,Energy,64.39
Andhra Pradesh,2011,Industry,50.32
Andhra Pradesh,2011,Transportation,42.13
Andhra Pradesh,2011,Waste Management,8.97
Andhra Pradesh,2012,Agriculture,21.68
Andhra Pradesh,2012,Energy,76.09
Andhra Pradesh,2012,Industry,42.45000000000001
Andhra Pradesh,2012,Transportation,32.09
Andhra Pradesh,2012,Waste Management,12.67
Andhra Pradesh,2013,Agriculture,13.899999999999999
Andhra Pradesh,2013,Energy,36.2
Andhra Pradesh,2013,Industry,40.74999999999999
Andhra Pradesh,2013,Transportation,26.68
Andhra Pradesh,2013,Waste Management,11.870000000000001
Andhra Pradesh,2014,Agriculture,20.990000000000002
Andhra Pradesh,2014,Energy,33.27
Andhra Pradesh,2014,Industry,26.349999999999998
Andhra Pradesh,2014,Transportation,42.21000000000001
Andhra Pradesh,2014,Waste Management,12.29
Andhra Pradesh,2015,Agriculture,13.98
Andhra Pradesh,2015,Energy,44.769999999999996
Andhra Pradesh,2015,Industry,58.25
Andhra Pradesh,2015,Transportation,44.989999999999995
Andhra Pradesh,2015,Waste Management,15.17
Andhra Pradesh,2016,Agriculture,20.630000000000003
Andhra Pradesh,2016,Energy,38.660000000000004
Andhra Pradesh,2016,Industry,41.04
Andhra Pradesh,2016,Transportation,43.58
Andhra Pradesh,2016,Waste Management,10.81
Andhra Pradesh,2017,Agriculture,25.25
Andhra Pradesh,2017,Energy,31.96
Andhra Pradesh,2017,Industry,45.57
Andhra Pradesh,2017,Transportation,42.44
Andhra Pradesh,2017,Waste Management,14.02
Andhra Pradesh,2018,Agriculture,16.58
Andhra Pradesh,2018,Energy,55.26
Andhra Pradesh,2018,Industry,53.81
Andhra Pradesh,2018,Transportation,31.58
Andhra Pradesh,2018,Waste Management,11.16
Andhra Pradesh,2019,Agriculture,19.21
Andhra Pradesh,2019,Energy,70.70000000000002
Andhra Pradesh,2019,Industry,45.3
Andhra Pradesh,2019,Transportation,28.419999999999998
Andhra Pradesh,2019,Waste Management,10.559999999999999
Andhra Pradesh,2020,Agriculture,14.999999999999998
Andhra Pradesh,2020,Energy,69.97
Andhra Pradesh,2020,Industry,36.09
Andhra Pradesh,2020,Transportation,31.71
Andhra Pradesh,2020,Waste Management,12.94
Andhra Pradesh,2021,Agriculture,17.840000000000003
Andhra Pradesh,2021,Energy,48.169999999999995
Andhra Pradesh,2021,Industry,40.05
Andhra Pradesh,2021,Transportation,30.740000000000002
Andhra Pradesh,2021,Waste Management,11.059999999999999
Andhra Pradesh,2022,Agriculture,16.31
Andhra Pradesh,2022,Energy,35.190000000000005
